Name,City,Street,Housenumber,State,Postcode,Latitude,Longitude,Emergency,Speciality,Phone,Website
Shanti Hospital,N/A,N/A,N/A,N/A,N/A,12.9235041,77.5857517,N/A,N/A,N/A,N/A
Narayana Hrudayalaya Dental Clinic,N/A,Outer Ring Road,N/A,N/A,N/A,12.9155759,77.6349897,N/A,N/A,N/A,N/A
Dr Ganesh Medical and Diabetic Clinic,N/A,N/A,N/A,N/A,N/A,12.9129006,77.6419101,N/A,N/A,N/A,N/A
JBS Hospital,N/A,Kanakapura Road,N/A,N/A,N/A,12.9207173,77.5745968,N/A,N/A,N/A,N/A
Jayanagar heart Centre,N/A,N/A,N/A,N/A,N/A,12.9231684,77.584433,N/A,N/A,N/A,N/A
Sri Vijayalakshmi Pragathi Hospital,N/A,N/A,N/A,N/A,N/A,13.0371728,77.6409543,N/A,N/A,N/A,N/A
Sathya Hospital,N/A,N/A,N/A,N/A,N/A,13.0185503,77.6364728,N/A,N/A,N/A,N/A
Chord Road Hospital Pvt Ltd,"Basaveshwara Nagar, Bangalore",West of Chord Road (LIC Colony),100,Karnataka,560079,12.9981215,77.5404836,N/A,multi speciality,+91-80-23225858;+91-80-23225868;+91-80-23225878,http://www.chordroadhospitalent.com/
Pristline Hospital,"Basaveshwara Nagar, Bangalore",Modi Hospital Road (West of Chord Road),877,N/A,560079,12.9978931,77.5436127,N/A,N/A,+91-80-41354444;+91-80-51270776,http://www.pristinehospitals.com/
"Bengaluru Hospital, Susruta Medical Aid AndResearch Home Limited",N/A,Rashtriya Vidyalaya Road,N/A,Karnataka,560001,12.9376734,77.5802836,N/A,N/A,N/A,http://dpal.kar.nic.in/Kanunu%20padakosha%20PDF%20Files/Recognised%20Hospitals.pdf
Manipal Northside Hospital,bangalore,"11th Main Road, Opp Railway Station, Malleswaram",71,Karnataka,560003,13.0011275,77.5639285,N/A,N/A,080 2222 1111,N/A
Government Primary Health Centre,N/A,N/A,N/A,N/A,N/A,12.9503234,77.6162619,N/A,N/A,N/A,N/A
Divakars speciality Hospital,N/A,N/A,N/A,Karnataka,560078,12.9100629,77.5924585,N/A,General Gynecology; Obstetrics; Prenatal Care; nulife clinic; Laboratory Testing and In-Office Surgery; Medical Spa for Women; Ophthalmology,N/A,http://www.healthforher.in/
BMTC Hospital,N/A,N/A,N/A,N/A,N/A,12.9234317,77.5923374,N/A,N/A,N/A,N/A
Ramakrishna Nursing Home and Hospital,N/A,N/A,N/A,N/A,N/A,12.9364329,77.583477,N/A,N/A,N/A,N/A
Sri Vinayaka Poly Clinic,bangalore,"80 Feet Road, SBM Colony, Near-Bank Colony Bus Stop, Banashankari 1st Stage",8/45,N/A,560050,12.939058,77.5510802,N/A,N/A,080 2672 8455,N/A
RMV Hospital,N/A,N/A,N/A,N/A,N/A,13.0322788,77.576876,yes,N/A,N/A,N/A
Mallya Audikesh Diagnostics Center,Bangalore,Infantry Road,55,N/A,560001,12.9815051,77.6011944,N/A,N/A,+918022868423,http://www.medinovaindia.com
Mallige Medical Centre,Bangalore,"Crescent Rd,Nehru Nagar,Gandhi Nagar",31/32,N/A,560001,12.985247,77.5803846,N/A,N/A,080 2220 3333,https://www.mallige.com/
Devine Hospital,N/A,N/A,N/A,Karnataka,560046,13.0038999,77.6039313,N/A,N/A,N/A,N/A
Lalbagh Nursing Home,N/A,Siddapura Road,N/A,N/A,N/A,12.9452313,77.5861734,N/A,N/A,N/A,N/A
Government Maternity Hospital,N/A,N/A,N/A,N/A,N/A,12.9988604,77.5817424,N/A,N/A,N/A,N/A
Nova Hospital,N/A,Ramana Maharshi Road,N/A,N/A,N/A,13.0073436,77.5837111,N/A,N/A,N/A,N/A
Soujanya Clinic,N/A,N/A,N/A,N/A,N/A,12.9681189,77.54325,no,N/A,N/A,N/A
Kanva Diagnostics Collection Centre,N/A,N/A,N/A,N/A,N/A,12.967291,77.5429164,N/A,N/A,N/A,N/A
Srinivas Clinic,N/A,29 Main,N/A,N/A,N/A,12.9073391,77.5830655,no,N/A,N/A,N/A
Unknown Hospital,N/A,N/A,N/A,N/A,N/A,13.0043642,77.5652959,N/A,N/A,N/A,N/A
Metro Hospital,N/A,N/A,N/A,N/A,N/A,12.8915893,77.560715,yes,N/A,N/A,N/A
ESI Hospital,N/A,N/A,N/A,N/A,N/A,12.995242,77.6523255,N/A,N/A,N/A,N/A
SDS Tuberculosis Research Centre and Rajiv Gandhi Institute of Chest diseases,N/A,N/A,N/A,N/A,N/A,12.9367955,77.5907094,no,N/A,N/A,N/A
Maiya Multispecialty Hospital,N/A,N/A,N/A,Karnataka,560011,12.942614,77.5854533,N/A,N/A,N/A,N/A
Narayana Netralaya,N/A,Castle Street,37,Karnataka,560025,12.9671401,77.6094485,N/A,N/A,N/A,N/A
"Vasan Eye Care Hospital, Nagarabhavi",N/A,N/A,N/A,Karnataka,560091,12.9746134,77.5129757,N/A,N/A,N/A,http://www.vasaneye.in/
Rc Hospital,N/A,N/A,N/A,Karnataka,560098,12.930936,77.5153776,N/A,N/A,N/A,N/A
Veturi Child Health Centre,N/A,N/A,N/A,N/A,N/A,12.9263226,77.5156579,N/A,N/A,N/A,N/A
Guru Kripa Clinic,N/A,N/A,N/A,N/A,N/A,13.0349833,77.5676844,N/A,N/A,N/A,N/A
Chirag Hospital and Maternity Center,N/A,17th Main Road,N/A,Karnataka,560078,12.9126298,77.5913594,N/A,N/A,N/A,N/A
Udhbhava Hospital,N/A,N/A,N/A,Karnataka,560085,12.9256842,77.5489346,yes,N/A,N/A,N/A
DG Hospital,N/A,N/A,N/A,Karnataka,560073,12.9206648,77.5598673,yes,N/A,N/A,http://dpal.kar.nic.in/Kanunu%20padakosha%20PDF%20Files/Recognised%20Hospitals.pdf
