Name,City,Street,Housenumber,State,Postcode,Latitude,Longitude,Emergency,Speciality,Phone,Website
Shanti Hospital,,,,,,12.9235041,77.5857517,,,+91-8660870721,
Narayana Hrudayalaya Dental Clinic,,Outer Ring Road,,,,12.9155759,77.6349897,,,+91-9135395154,
Dr Ganesh Medical and Diabetic Clinic,,,,,,12.9129006,77.6419101,,,+91-8913715517,
JBS Hospital,,Kanakapura Road,,,,12.9207173,77.5745968,,,+91-6234143260,
Jayanagar heart Centre,,,,,,12.9231684,77.584433,,,+91-6582013026,
Sri Vijayalakshmi Pragathi Hospital,,,,,,13.0371728,77.6409543,,,+91-7818432182,
Sathya Hospital,,,,,,13.0185503,77.6364728,,,+91-8342981147,
Chord Road Hospital Pvt Ltd,"Basaveshwara Nagar, Bangalore",West of Chord Road (LIC Colony),100,Karnataka,560079,12.9981215,77.5404836,,multi speciality,+91-80-23225858;+91-80-23225868;+91-80-23225878,http://www.chordroadhospitalent.com/
Pristline Hospital,"Basaveshwara Nagar, Bangalore",Modi Hospital Road (West of Chord Road),877,,560079,12.9978931,77.5436127,,,+91-80-41354444;+91-80-51270776,http://www.pristinehospitals.com/
"Bengaluru Hospital, Susruta Medical Aid AndResearch Home Limited",,Rashtriya Vidyalaya Road,,Karnataka,560001,12.9376734,77.5802836,,,+91-7790734679,http://dpal.kar.nic.in/Kanunu%20padakosha%20PDF%20Files/Recognised%20Hospitals.pdf
Manipal Northside Hospital,bangalore,"11th Main Road, Opp Railway Station, Malleswaram",71,Karnataka,560003,13.0011275,77.5639285,,,080 2222 1111,
Government Primary Health Centre,,,,,,12.9503234,77.6162619,,,+91-8752666177,
Divakars speciality Hospital,,,,Karnataka,560078,12.9100629,77.5924585,,General Gynecology; Obstetrics; Prenatal Care; nulife clinic; Laboratory Testing and In-Office Surgery; Medical Spa for Women; Ophthalmology,+91-9495126588,http://www.healthforher.in/
BMTC Hospital,,,,,,12.9234317,77.5923374,,,+91-6342396481,
Ramakrishna Nursing Home and Hospital,,,,,,12.9364329,77.583477,,,+91-7231638803,
Sri Vinayaka Poly Clinic,bangalore,"80 Feet Road, SBM Colony, Near-Bank Colony Bus Stop, Banashankari 1st Stage",8/45,,560050,12.939058,77.5510802,,,080 2672 8455,
RMV Hospital,,,,,,13.0322788,77.576876,yes,,+91-7628104476,
Mallya Audikesh Diagnostics Center,Bangalore,Infantry Road,55,,560001,12.9815051,77.6011944,,,+918022868423,http://www.medinovaindia.com
Mallige Medical Centre,Bangalore,"Crescent Rd,Nehru Nagar,Gandhi Nagar",31/32,,560001,12.985247,77.5803846,,,080 2220 3333,https://www.mallige.com/
Devine Hospital,,,,Karnataka,560046,13.0038999,77.6039313,,,+91-7225851907,
Lalbagh Nursing Home,,Siddapura Road,,,,12.9452313,77.5861734,,,+91-9007841433,
Government Maternity Hospital,,,,,,12.9988604,77.5817424,,,+91-8918155767,
Nova Hospital,,Ramana Maharshi Road,,,,13.0073436,77.5837111,,,+91-7246621525,
Soujanya Clinic,,,,,,12.9681189,77.54325,no,,+91-9765745497,
Kanva Diagnostics Collection Centre,,,,,,12.967291,77.5429164,,,+91-9206690042,
